lat,lon,station_id,color,station_name,date,Параметр,"Қауіпті деңгей, см","Нақты деңгей, см","Нақты шығын, м³/с","Судың температурасы,°C",Су объектінің күй коды,param
51.73574,68.65144,11620,lightblue,Есіл ө. – Поповка а.,2026-03-25,Мәні,NA,423,NA,NA,NA,level
51.0229,71.9738,11644,lightblue,Есіл өзені – Волгодоновка ауылы,2026-03-25,Мәні,685,102,0.07,0,564,level
54.5245,68.7187,11645,lightblue,Есіл өзені – Новоникольское ауылы,2026-03-25,Мәні,1549,579,,NA,565,level
55.3169,69.4451,11646,lightblue,Есіл өзені - Долматово ауылы,2026-03-25,Мәні,1450,498,11.5,NA,565,level
50.69333,72.70861,11649,lightblue,Есіл ө. – Есіл к. (Литвинское),2026-03-25,Мәні,510,105,NA,NA,565,level
49.8352,82.6463,11661,lightblue,Абылайкит өзені – Самсоновка ауылы,2026-03-25,Мәні,420,263,5.6,0.2,546,level
53.2631,75.608,11663,lightblue,Ертіс өзені – Жаңабет ауылы,2026-03-25,Мәні,1282,297,666,NA,565,level
52.3295,76.8832,11667,lightblue,"Ертіс өзені – Павлодар қ., автомост",2026-03-25,Мәні,1084,210,626,NA,563,level
49.9785,82.4231,11668,lightblue,Ұлан өзені – Герасимовка ауылы,2026-03-25,Мәні,480,375,2.77,0.2,NA 537,level
53.10389,69.85861,11670,lightblue,Қылшақты ө. – Кенесары а.,2026-03-25,Мәні,NA,295,NA,NA,NA,level
53.24667,69.6325,11671,lightblue,Қылшақты ө.  – Ивановка а.,2026-03-25,Мәні,NA,185,NA,NA,NA,level
48.7912,86.0238,11901,lightblue,Марқакөл көлі – Уранқай ауылы,2026-03-25,Мәні,NA,150,,0,NA 565,level
47.7421,84.1999,11902,lightblue,Бұқтырма су қоймасы – Тұғыл ауылы (Зайсан-Нор көлі),2026-03-25,Мәні,NA,522,,0,566 547,level
48.2216,83.6865,11903,lightblue,Бұқтырма су қоймасы – Ақсуат ауылы (Зайсан-Нор көлі),2026-03-25,Мәні,NA,523,,0,NA 565,level
54.9128,69.1253,11904,lightblue,Петропавл су қоймасы (Есіл өзені) – Петропавловск қ.,2026-03-25,Мәні,NA,695,,NA,565,level
48.6756,83.4897,11905,lightblue,Бұқтырма су қоймасы – Құйған ауылы,2026-03-25,Мәні,NA,523,,0,565,level
49.2013,84.3444,11907,lightblue,Бұқтырма су қоймасы – Хайрузовка ауылы,2026-03-25,Мәні,NA,527,,0,NA 565,level
52.9171,69.1446,11908,lightblue,Зеренді көлі – Зеренді ауылы,2026-03-25,Мәні,NA,719,,0,564,level
